329P1H	PHILIPS 32" (16:9) UHD IPS LED75HZ, HDMI, DP, USB-C DOCK, RJ45, WEBCAM, SPKR, H/ADJ, 4YR	Philips	1	159.09	0	159.09	159.09	15.91
30B4S3WF00	Lenovo Thinkstation P510 16Gb	Lenovo	1	118.18	0	118.18	118.18	11.82
20L8SDCE00	Lenovo T480s	Lenovo	1	100	0	100	100	10
Pro desk 600 G6	HP Prodesk 600 G6 i5-10500T CPU @ 2.30GHz, 14Gb, 16Gb	HP	1	163.64	0	163.64	163.64	16.36
SBKPF	HP 400 Pro desk G6 mini i5-10500T CPU @ 2.30GHz, 256 +14Gb ssds, 8Gb	HP	4	654.56	0	654.56	654.56	65.46
P340	Lenovo P340 Tiny 10th Gen i7-10700, 256Gb 16Gb 8 cores @ 2.9Ghz	Lenovo	2	400	0	400	400	40
Optiplex 3070	Dell Optiplex 3070 Micro I5-9500	Dell	5	740	0	740	740	74
optiplex 3080 Micro	Dell optiplex 3080 Micro I5 i5-10500	HP	1	168	0	168	168	16.8
20NYS4CP00	Re-ware Refurbished Lenovo - T490s I5 8265U @ 1.6GHz, 8GB RAM, 256SSD, TOUCH SCREEN, WAN ENABLED	Lenovo	5	650	0	650	650	65
20NYS4CP00	Re-ware Refurbished Lenovo - T490s I5 8265U @ 1.6GHz, 16GB RAM, 256SSD, TOUCH SCREEN, WAN ENABLED	Lenovo	1	150	0	150	150	15
20T0003UAU	Re-ware Refurbished Lenovo - T14S I5-10210U, 14.0" FHD IPS TOUCH, 256GB SSD, 16GB, 4G LTE, IR CAM, W10P64, 3YO	Lenovo	1	180	0	180	-1,487.64	18
8GB 3200	Toughbook Ram upgrade	Samsung	1	150	0	150	120	15
RW-20WN0025AU	ThinkPad T14s Gen 2i, 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz, 256GB, 16GB	Lenovo	1	300	0	300	250	30
RW-20WN0025AU	ThinkPad T14s Gen 2i, 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz, 256GB, 16GB	Lenovo	1	300	0	300	250	30
Ultra Dock 40A8	Lenovo ThinkPad USB 3.0 Ultra Dock 40A8 DisplayPort HDMI Ethernet	Lenovo	1	20	0	20	10	2
CF 54 Mk 3	re-ware Panasonic Toughbook CF54-3	Panasonic	1	600	0	600	600	60
20WNS6LL00	Re-ware Refurbished Lenovo - T14s I5-102IOU@1.6GHZ, 256 SSD, 8GB RAM, TOUCHSCREEN, WAN ENABLED	Lenovo	1	272.73	0	272.73	72.73	27.27
20WNS6LL00	Re-ware Refurbished Lenovo - T14s I5-102IOU@1.6GHZ, 256 SSD, 8GB RAM, TOUCHSCREEN, WAN ENABLED	Lenovo	1	227.27	0	227.27	27.27	22.73
Elite Mini 600 G9 Desktop PC	Re-ware - HP Elite Mini 600 G9 Desktop PC	HP	2	920.82	0	920.82	920.82	92.08
