code,name,price,on_hand,serial_count,serials,brand,series,cpu,ram,storage,main_image,public_cats
20T0003UAU,ThinkPad T14s Gen 1,250.0,1.0,1,PC1TKK7W,Lenovo,ThinkPad T14s,i5-10210U,16GB,256GB SSD,True,Laptops
20T0003UAU,ThinkPad T14s Gen 1 16GB,250.0,0.0,0,,Lenovo,ThinkPad T14s,i5-10210U,16GB,256GB SSD,True,Laptops
20T1S6C300,ThinkPad T14s Gen 1,230.0,14.0,14,PC1PQ9GQ;PC1PQ9HS;PC1PQ9HV;PC1PQ9HY;PC1PQ9J3;PC1PQ9JK;PC1PQ9JL;PC1PQ9K3;PC1PQ9K5;PC1PQ9M0;PC1PQ9M7;PC1PQ9M8;PC1PQ9MD;PC1PQ9MW,Lenovo,ThinkPad T14s,i5-10210U,8GB,256GB SSD,True,Laptops
20T1S6C300,ThinkPad T14s Gen 1,230.0,14.0,14,PC1PQ9GQ;PC1PQ9HS;PC1PQ9HV;PC1PQ9HY;PC1PQ9J3;PC1PQ9JK;PC1PQ9JL;PC1PQ9K3;PC1PQ9K5;PC1PQ9M0;PC1PQ9M7;PC1PQ9M8;PC1PQ9MD;PC1PQ9MW,Lenovo,ThinkPad T14s,i5-10210U,8GB,256GB SSD,True,Laptops
20TJS5WW00,ThinkPad P1 Gen 3,900.0,1.0,1,R913RZGT,Lenovo,ThinkPad T14s,i9-10885H,32GB,512GB SSD,True,Laptops
20W4004TAU,ThinkPad T15 Gen 2i,450.0,14.0,14,PF2V9RKC;PF2W5DSV;PF2W5NAE;PF2WGAF0;PF2WHCQX;PF2WHM02;PF2WHQG8;PF2WHXNG;PF2WJ1M9;PF2WJ1P5;PF2WJ59L;PF2WJ8XG;PF2WJC5E;PF2WJHVG,Lenovo,ThinkPad T15,i7-1165G7,16GB,512GB SSD,True,Laptops
20WN0025AU,ThinkPad T14s Gen 2I,0.0,0.0,0,,Lenovo,ThinkPad T14s,11th Gen i5/i7,16GB,256GB SSD,False,Laptops
20WN0025AU,ThinkPad T14s Gen 2i,330.0,6.0,6,PC27R4BT;PC27R1V2;PC27R1WE;PC27R1WK;PC27R3NL;PC27R40B,Lenovo,ThinkPad T14s,i5-1145G7,16GB,256GB SSD,True,Laptops
20WNA07YAU,ThinkPad T14s Gen 2I,0.0,0.0,0,,Lenovo,ThinkPad T14s,11th Gen i5/i7,16GB,256GB SSD,False,Laptops
20WNA07YAU,ThinkPad T14s Gen 2i,350.0,12.0,12,GM048THG;GM048THM;GM048TJA;GM048TJZ;GM048TKC;GM048TKM;GM048TLA;GM048TLJ;GM048TM3;GM048TM4;GM048TMP;GM048TNA,Lenovo,ThinkPad T14s,i5-1135G7,16GB,256GB SSD,True,Laptops
20WNS6LL00,ThinkPad T14s Gen 2I,0.0,0.0,0,,Lenovo,ThinkPad T14s,11th Gen i5/i7,16GB,256GB SSD,False,Laptops
20WNS6LL00,ThinkPad T14s Gen 2i,355.0,1.0,1,PC2CN0JW,Lenovo,ThinkPad T14s,i5-1135G7,16GB,256GB SSD,True,Laptops
CF-52GCMBVAM,002,180.0,1.0,1,9ETSA57811,Panasonic,Toughbook,Intel(R) Core(TM)2 Duo CPU P8400 @ 2.26GHz,4GB,250GB SSD,True,Laptops
CF-54H1436VA,003,575.0,1.0,1,8FTSA41991,Panasonic,Toughbook,i5-7300U,8GB,500GB SSD,True,Laptops
CF-54J1436VA,003,575.0,6.0,6,9FTSC49439;9FTSC49459;9FTSC49536;9FTSC49553;9FTSC49592;9FTSC49614,Panasonic,Toughbook,i5-7300U,8GB,500GB SSD,True,Laptops
DELL D09U001-8G-256G-N,DELL D09U001,100.0,6.0,6,9S8FR42;BQWJH62;BQXHH62;BQYBH62;GV8FR42;9W8FR42,Dell,Dell Optiplex,i5-4590T,8GB,256GB SSD,True,Laptops
